SiteID,Antenna
ON000848,T2008M6R033_T06_2200
ON000848,T2008M6R033_T07_2200
ON000899,T2008M6R033_T05_2200
ON002912,T2008L6R033_T04_2200
ON002912,T2008L6R033_T02_2200
ON002914,T2008L6R033_T02_2200
ON002919,T2008L6R033_T04_2200
ON0084,T2008M6R033_T03_2200
ON0084,T2008M6R033_T05_2200
ON0336,T2008M6R033_T02_2200
ON0336,T2008M6R033_T05_2200
ON0336,T2008M6R033_T03_2200
ON0337,T2008M6R033_T06_2200
ON0337,T2008M6R033_T05_2200
ON0339,HPA-33R-BWW-H6_2133_T04
ON0339,T2008M6R033_T03_2200
ON0821,T2008M6R033_T04_2200
ON0822,T2008M6R033_T05_2200
ON0822,T2008M6R033_T04_2200
ON0822,T2008M6R033_T06_2200
ON0823,T2008M6R033_T05_2200
ON0823,T2008M6R033_T06_2200
ON0824,T2008M6R033_T04_2200
ON0824,T2008M6R033_T03_2200
ON0824,T2008M6R033_T05_2200
ON0825,T2008M6R033_T07_2200
ON0826,T2008M6R033_T05_2200
ON0826,T2008M6R033_T04_2200
ON0827,T2008M6R033_T06_2200
ON0827,T2008M6R033_T04_2200
ON0829,T2008M6R033_T04_2200
ON0829,T2008M6R033_T06_2200
ON0831,T2008M6R033_T02_2200
ON0831,T2008M6R033_T03_2200
ON0832,T2008M6R033_T05_2200
ON0832,T2008M6R033_T04_2200
ON0832,T2008M6R033_T02_2200
ON0833,T2008M6R033_T05_2200
ON0833,T2008M6R033_T06_2200
ON0833,T2008M6R033_T04_2200
ON0834,T2008M6R033_T06_2200
ON0834,T2008M6R033_T04_2200
ON1095,T2008M6R033_T06_2200
ON1095,T2008M6R033_T04_2200
ON1098,HPA-33R-BWW-H6_2133_T04
ON1098,T2008M6R033_T05_2200
ON1401,T2008M6R033_T05_2200
ON1401,T2008M6R033_T06_2200
ON1401,T2008M6R033_T03_2200
ON1403,T2008M6R033_T05_2200
ON1404,T2008L6R033_T06_2200
ON1404,T2008L6R033_T05_2200
ON1434,T2008L6R033_T04_2200
ON1434,T2008L6R033_T06_2200
ON1434,T2008L6R033_T05_2200
ON1435,T2008M6R033_T06_2200
ON1435,T2008M6R033_T05_2200
ON1435,T2008M6R033_T04_2200
ON1436,T2008M6R033_T04_2200
ON1436,T2008M6R033_T07_2200
ON1436,T2008M6R033_T06_2200
ON1488,T2008M6R033_T06_2200
